,time,G0-A_qload,G0-A_pload,G0-M_qload,G0-M_pload,G3-A_qload,G3-A_pload,G3-M_qload,G3-M_pload,L0-A_qload,L0-A_pload,L2-M_qload,L2-M_pload,lv_rural1_qload,lv_rural1_pload,lv_rural2_qload,lv_rural2_pload,lv_rural3_qload,lv_rural3_pload,lv_semiurb4_pload,lv_semiurb4_qload
38,02.01.2016 14:00,0.398298,0.43313500000000005,0.402237,0.260256,0.296178,0.406421,0.29420999999999997,0.44341099999999994,0.370427,0.32506199999999996,0.313815,0.26577399999999995,0.425545,0.46685,0.088882,0.301113,0.073425,0.315542,0.370379,0.126939
39,02.01.2016 15:00,0.364051,0.30793200000000004,0.48008999999999996,0.279487,0.32156399999999996,0.403077,0.16868,0.39534899999999995,0.426932,0.315136,0.319282,0.246759,0.290513,0.263872,0.07206699999999999,0.214299,0.051033999999999996,0.211215,0.27513899999999997,0.14411500000000002
40,02.01.2016 16:00,0.342475,0.167569,0.376287,0.24359,0.359813,0.42648800000000003,0.23144499999999998,0.417054,0.414376,0.32009899999999997,0.314909,0.258859,0.372463,0.316523,0.08043600000000001,0.27734200000000003,0.060048000000000004,0.31012399999999996,0.27437,0.09692
41,02.01.2016 17:00,0.295556,0.145506,0.46062700000000006,0.288462,0.84216,0.795987,0.380511,0.45426400000000006,0.6403989999999999,0.369727,0.350992,0.276145,0.511737,0.59027,0.10969200000000001,0.279818,0.075886,0.285344,0.277143,0.129526
42,02.01.2016 18:00,0.308227,0.152274,0.39575,0.253846,0.203093,0.39973200000000003,0.400125,0.485271,0.6466770000000001,0.421836,0.360833,0.295592,0.578551,0.633817,0.138277,0.224771,0.139463,0.20140999999999998,0.281547,0.156846
43,02.01.2016 19:00,0.346927,0.172577,0.48333400000000004,0.282051,0.15672,0.351171,0.321669,0.502326,0.728296,0.35483899999999996,0.347711,0.310285,0.521045,0.561411,0.08444,0.26022,0.06701,0.265198,0.272539,0.11353599999999998
44,02.01.2016 20:00,0.38117399999999996,0.181104,0.366555,0.24743600000000002,0.21155500000000002,0.354515,0.274596,0.469767,0.809916,0.406948,0.346618,0.283492,0.50594,0.593609,0.129485,0.267004,0.120056,0.258334,0.258079,0.163687
45,02.01.2016 21:00,0.304117,0.147266,0.447651,0.282051,0.14385799999999999,0.309431,0.274596,0.46046499999999996,0.747132,0.401985,0.294133,0.23293000000000003,0.526261,0.515076,0.051142,0.255366,0.032393,0.235368,0.264554,0.062841
46,02.01.2016 22:00,0.351036,0.170953,0.386018,0.25,0.186169,0.372977,0.24713600000000002,0.45271300000000003,0.269972,0.19602999999999998,0.340057,0.23941199999999999,0.433421,0.405914,0.077695,0.200046,0.057659,0.19456800000000002,0.21525100000000003,0.082999
47,02.01.2016 23:00,0.355489,0.174337,0.457383,0.279487,0.21155500000000002,0.36789299999999997,0.16083499999999998,0.415504,0.213466,0.16129000000000002,0.319282,0.20829699999999998,0.382558,0.305365,0.038119,0.155475,0.021093999999999998,0.142282,0.16756300000000002,0.065549
48,03.01.2016 00:00,0.351036,0.169193,0.392506,0.265385,0.19056900000000002,0.381271,0.164757,0.41085299999999997,0.207188,0.171216,0.305068,0.20700100000000002,0.35765399999999997,0.22343200000000002,0.053850999999999996,0.126909,0.044657999999999996,0.10902,0.15947,0.059784000000000004
49,03.01.2016 01:00,0.282542,0.138738,0.347092,0.24487199999999998,0.236942,0.37792600000000004,0.16868,0.378295,0.213466,0.173697,0.295227,0.20311099999999999,0.333901,0.210902,0.038645,0.104245,0.013947999999999999,0.07752200000000001,0.139828,0.05285700000000001
50,03.01.2016 02:00,0.351036,0.172577,0.389262,0.262821,0.15672,0.424749,0.184371,0.370543,0.200909,0.156328,0.10825,0.146932,0.27712800000000004,0.191243,0.048173,0.09033200000000001,0.032652,0.067259,0.108172,0.075488
51,03.01.2016 03:00,0.35959800000000003,0.174337,0.428188,0.279487,0.118471,0.31611999999999996,0.176526,0.370543,0.194631,0.141439,0.10497000000000001,0.14866,0.256255,0.16308699999999998,0.025991000000000004,0.070896,0.014365000000000001,0.060596000000000004,0.096743,0.039769
52,03.01.2016 04:00,0.342475,0.169193,0.405481,0.260256,0.266729,0.344482,0.16868,0.376744,0.28880700000000004,0.171216,0.115904,0.15255,0.22415700000000002,0.16523,0.035693,0.06956799999999999,0.017325999999999998,0.055573000000000004,0.095055,0.049924
53,03.01.2016 05:00,0.26987,0.135355,0.434676,0.273077,0.203093,0.314381,0.180449,0.378295,0.269972,0.171216,0.106063,0.144771,0.300105,0.191374,0.032881,0.09175,0.013005000000000001,0.08015900000000001,0.12239100000000001,0.049893
54,03.01.2016 06:00,0.329803,0.170953,0.43792,0.276923,0.21155500000000002,0.334448,0.20790799999999998,0.382946,0.583893,0.28536,0.311628,0.200951,0.351563,0.19898,0.035595999999999996,0.08337,0.02431,0.078126,0.089723,0.065733
55,03.01.2016 07:00,0.338365,0.170953,0.389262,0.26410300000000003,0.14385799999999999,0.36789299999999997,0.388357,0.45116300000000004,0.765967,0.364764,0.325843,0.212619,0.35046700000000003,0.35089699999999996,0.047067000000000005,0.105215,0.046125,0.108964,0.115426,0.053413
56,03.01.2016 08:00,0.389736,0.179345,0.46387,0.288462,0.126933,0.372977,0.400125,0.448062,0.8727,0.5831270000000001,0.318189,0.21391500000000002,0.402937,0.354946,0.044877999999999994,0.11691099999999999,0.028627999999999997,0.115532,0.12909600000000002,0.060769000000000004
