time,PV3,PV7,WP4,WP7,BM1,BM2,BM3,Hydro2,lv_rural1,lv_rural2,lv_rural3,lv_semiurb4
2010-01-03 08:00:00,0.005,0.003,0.161,0.321,0.7137819999999999,0.693142,0.760221,0.41116,0.005786950999999999,0.004565336,0.005665493000000001,0.011000000000000001
2010-01-03 09:00:00,0.018000000000000002,0.011000000000000001,0.107,0.223,0.682556,0.695918,0.751254,0.243025,0.017760253,0.016006876,0.01832279,0.031
2010-01-03 10:00:00,0.11599999999999999,0.037000000000000005,0.07400000000000001,0.156,0.654139,0.708176,0.739483,0.36931,0.13257286,0.087440172,0.08417561499999998,0.225
2010-01-03 11:00:00,0.036000000000000004,0.035,0.068,0.126,0.641229,0.720513,0.721727,0.621145,0.053314018,0.041039868000000014,0.052873355,0.061
2010-01-03 12:00:00,0.027000000000000003,0.055999999999999994,0.077,0.125,0.654429,0.7353850000000001,0.728513,0.253304,0.014592737999999997,0.038155428,0.041636304,0.013999999999999999
2010-01-03 13:00:00,0.006,0.032,0.095,0.134,0.673501,0.7535029999999999,0.722391,0.24522800000000006,0.00011850000000000001,0.016166431999999998,0.019849729,0.0
2010-01-03 14:00:00,0.001,0.011000000000000001,0.114,0.147,0.708464,0.765005,0.720427,0.419971,0.0,0.00492572,0.006297164,0.0
2010-01-03 15:00:00,0.0,0.0,0.121,0.156,0.722853,0.766936,0.7215239999999999,0.220264,0.0,0.0,0.0,0.0
2010-01-03 16:00:00,0.0,0.0,0.114,0.153,0.7288020000000001,0.7854800000000001,0.7129439999999999,0.363436,0.0,0.0,0.0,0.0
2010-01-03 17:00:00,0.0,0.0,0.103,0.147,0.727214,0.777478,0.694328,0.372981,0.0,0.0,0.0,0.0
2010-01-03 18:00:00,0.0,0.0,0.094,0.141,0.734028,0.777017,0.694559,0.258443,0.0,0.0,0.0,0.0
2010-01-03 19:00:00,0.0,0.0,0.09300000000000001,0.13699999999999998,0.764947,0.784617,0.684118,0.254038,0.0,0.0,0.0,0.0
2010-01-03 20:00:00,0.0,0.0,0.107,0.146,0.7923560000000001,0.775289,0.6579020000000001,0.331131,0.0,0.0,0.0,0.0
2010-01-03 21:00:00,0.0,0.0,0.141,0.18600000000000003,0.8008689999999999,0.7655810000000001,0.648524,0.199706,0.0,0.0,0.0,0.0
2010-01-03 22:00:00,0.0,0.0,0.183,0.26,0.80038,0.735731,0.640564,0.292217,0.0,0.0,0.0,0.0
2010-01-03 23:00:00,0.0,0.0,0.22399999999999998,0.335,0.8104100000000001,0.7193579999999999,0.651245,0.373715,0.0,0.0,0.0,0.0
2010-01-04 00:00:00,0.0,0.0,0.24,0.369,0.819628,0.716758,0.655876,0.392805,0.0,0.0,0.0,0.0
2010-01-04 01:00:00,0.0,0.0,0.247,0.39,0.835924,0.712626,0.646468,0.367107,0.0,0.0,0.0,0.0
2010-01-04 02:00:00,0.0,0.0,0.265,0.439,0.835609,0.704331,0.635989,0.391336,0.0,0.0,0.0,0.0
2010-01-04 03:00:00,0.0,0.0,0.295,0.513,0.851943,0.702365,0.654834,0.380323,0.0,0.0,0.0,0.0
2010-01-04 04:00:00,0.0,0.0,0.326,0.5589999999999999,0.846701,0.707337,0.673616,0.389868,0.0,0.0,0.0,0.0
2010-01-04 05:00:00,0.0,0.0,0.36200000000000004,0.605,0.828525,0.7018449999999999,0.668871,0.591777,0.0,0.0,0.0,0.0
2010-01-04 06:00:00,0.0,0.0,0.406,0.65,0.818537,0.701296,0.669131,0.5719529999999999,0.0,0.0,0.0,0.0
2010-01-04 07:00:00,0.0,0.0,0.44299999999999995,0.685,0.80814,0.697768,0.665079,0.342144,0.0,0.0,0.0,0.0
2010-01-04 08:00:00,0.0,0.005,0.46,0.713,0.788501,0.686924,0.639405,0.248164,0.0,0.00216506,0.011493783999999998,0.0
2010-01-04 09:00:00,0.0,0.006,0.513,0.726,0.779579,0.68542,0.6400710000000001,0.298825,0.00011850000000000001,0.0033259920000000003,0.0284046,0.0
2010-01-04 10:00:00,0.051,0.08900000000000001,0.5870000000000001,0.778,0.767339,0.6759890000000001,0.63405,0.281938,0.031985827,0.06471801599999999,0.101997629,0.032
2010-01-04 11:00:00,0.14300000000000002,0.102,0.626,0.7909999999999999,0.761835,0.672198,0.636626,0.353891,0.08088540899999999,0.127281988,0.12719444300000002,0.08900000000000001
2010-01-04 12:00:00,0.134,0.11,0.629,0.797,0.770595,0.675237,0.648177,0.195301,0.08101050900000001,0.119482832,0.10966852600000003,0.08600000000000001
2010-01-04 13:00:00,0.07,0.064,0.61,0.789,0.7914640000000001,0.701324,0.6480319999999999,0.188693,0.010918987000000002,0.064854208,0.059629034,0.012
2010-01-04 14:00:00,0.027999999999999997,0.027999999999999997,0.616,0.754,0.8102659999999999,0.735356,0.646179,0.189427,0.0028815509999999996,0.0267194,0.024151021,0.003
2010-01-04 15:00:00,0.0,0.0,0.608,0.7190000000000001,0.8312209999999999,0.766157,0.646497,0.279001,0.0,0.0,0.0,0.0
2010-01-04 16:00:00,0.0,0.0,0.507,0.643,0.851686,0.794341,0.649798,0.454479,0.0,0.0,0.0,0.0
2010-01-04 17:00:00,0.0,0.0,0.469,0.5820000000000001,0.851399,0.793133,0.64508,0.285609,0.0,0.0,0.0,0.0
2010-01-04 18:00:00,0.0,0.0,0.436,0.513,0.85787,0.811846,0.65385,0.429515,0.0,0.0,0.0,0.0
2010-01-04 19:00:00,0.0,0.0,0.365,0.45399999999999996,0.895343,0.8157800000000001,0.666816,0.254772,0.0,0.0,0.0,0.0
2010-01-04 20:00:00,0.0,0.0,0.33799999999999997,0.433,0.910434,0.825025,0.6697960000000001,0.19163,0.0,0.0,0.0,0.0
2010-01-04 21:00:00,0.0,0.0,0.32,0.416,0.923086,0.8309350000000001,0.690077,0.204112,0.0,0.0,0.0,0.0
2010-01-04 22:00:00,0.0,0.0,0.321,0.423,0.935413,0.838247,0.6987220000000001,0.157856,0.0,0.0,0.0,0.0
2010-01-04 23:00:00,0.0,0.0,0.33,0.43799999999999994,0.946365,0.8430340000000001,0.715082,0.391336,0.0,0.0,0.0,0.0
2010-01-05 00:00:00,0.0,0.0,0.33899999999999997,0.45399999999999996,0.966541,0.860074,0.7323529999999999,0.372247,0.0,0.0,0.0,0.0
2010-01-05 01:00:00,0.0,0.0,0.33399999999999996,0.455,0.981416,0.879149,0.76048,0.381057,0.0,0.0,0.0,0.0
2010-01-05 02:00:00,0.0,0.0,0.324,0.473,0.985132,0.891689,0.756271,0.383994,0.0,0.0,0.0,0.0
2010-01-05 03:00:00,0.0,0.0,0.314,0.466,0.988053,0.90048,0.7666189999999999,0.367107,0.0,0.0,0.0,0.0
2010-01-05 04:00:00,0.0,0.0,0.299,0.447,0.991967,0.904473,0.7569060000000001,0.5058739999999999,0.0,0.0,0.0,0.0
2010-01-05 05:00:00,0.0,0.0,0.292,0.442,0.976705,0.8966559999999999,0.742513,0.510279,0.0,0.0,0.0,0.0
2010-01-05 06:00:00,0.0,0.0,0.29,0.452,0.973781,0.8926879999999999,0.756963,0.338473,0.0,0.0,0.0,0.0
2010-01-05 07:00:00,0.0,0.0,0.289,0.467,0.945967,0.8724040000000001,0.767483,0.256975,0.0,0.0,0.0,0.0
2010-01-05 08:00:00,0.011000000000000001,0.004,0.268,0.45399999999999996,0.920807,0.841801,0.751571,0.211454,0.0008815170000000002,0.008332876,0.008368542000000001,0.001
